keys,zh,en,ms
UI_TARGET_CLOSE,靠近,Closest,Terdekat
UI_TARGET_STRONG,强力,Strongest,Terkuat
UI_TARGET_LAST,最后,Last,Terakhir
UI_ATK_GROUND,地面,Ground,Darat
UI_ATK_AIR,空中,Air,Udara
UI_ATK_ALL,全部,All,Semua
UI_ITEM_STOCK,库存: %d,Stock: %d,Stok: %d
UI_ITEM_NO_STOCK,无库存,No stock,Tiada stok
UI_ITEM_USE,使用,Use,Guna
UI_ITEM_BUY,💎 %d 购买,💎 %d Buy,💎 %d Beli
UI_ITEM_WATCH_AD,📺 看广告,📺 Watch Ad,📺 Tonton Iklan
UI_ITEM_PURCHASE_TITLE,购买道具,Buy Item,Beli Item
UI_ITEM_PURCHASE_MSG,购买 %s %s？\n花费 💎 %d（当前 💎 %d）,Buy %s %s?\nCost 💎 %d (Current 💎 %d),Beli %s %s?\nKos 💎 %d (Semasa 💎 %d)
UI_ITEM_PURCHASE_CONFIRM,确认购买,Confirm Purchase,Sahkan Pembelian
UI_HERO_LABEL,英雄,Hero,Wira
UI_HERO_LOCKED,英雄 🔒,Heroes 🔒,Wira 🔒
UI_HERO_LV_FORMAT,等级 Lv.%d / 5,Level Lv.%d / 5,Tahap Lv.%d / 5
UI_HERO_BASE_SKILL,📋 初始技能,📋 Base Skill,📋 Kemahiran Asas
UI_HERO_UPGRADES_CHOSEN,⚡ 已选升级,⚡ Upgrades Chosen,⚡ Peningkatan Dipilih
UI_HERO_NO_UPGRADES,⚡ 暂无升级,⚡ No Upgrades Yet,⚡ Tiada Peningkatan Lagi
UI_HERO_UNLOCK_WAVE,（第 %d 波解锁）,(Unlocks at wave %d),(Dibuka pada gelombang %d)
UI_HERO_MAX_LEVEL,✨ 满级,✨ Max Level,✨ Tahap Maks
UI_HERO_NEXT_UPGRADE,⏳ 下次升级: 第 %d 波（还需 %d 波）,⏳ Next upgrade: Wave %d (%d waves left),⏳ Peningkatan seterusnya: Gelombang %d (%d gelombang lagi)
UI_HERO_SELL,🔥 售出,🔥 Sell,🔥 Jual
UI_HERO_TERRAIN_FORMAT,☀️ %s · 半径 %dpx,☀️ %s · Radius %dpx,☀️ %s · Jejari %dpx
UI_WAVE_BANNER,⚔ 第 %d 波 ⚔\n%s,⚔ Wave %d ⚔\n%s,⚔ Gelombang %d ⚔\n%s
UI_WAVE_BANNER_SIMPLE,⚔ 第 %d 波 ⚔,⚔ Wave %d ⚔,⚔ Gelombang %d ⚔
UI_DECOR_REMOVE_TITLE,拆除装饰,Remove Decoration,Alih Hiasan
UI_DECOR_REMOVE_MSG,拆除 %s？\n花费 %d 🪙,Remove %s?\nCost %d 🪙,Alih %s?\nKos %d 🪙
UI_DECOR_REMOVE_CONFIRM,确认拆除,Confirm Remove,Sahkan Alih
UI_DECOR_REMOVE_GENERIC,花费 500 🪙 拆除此装饰物？,Remove this decoration for 500 🪙?,Alih hiasan ini untuk 500 🪙?
UI_SAVE_OVERWRITE,将覆盖 Day%d %s 的保存记录，确定？,Overwrite Day%d %s save?,Tulis ganti simpanan Day%d %s?
UI_SAVE_CONFIRM,确定,Confirm,Sahkan
UI_EXIT_NO_SAVE_MSG,退出当前游戏？\n当前游戏进度不会被保留,Quit current game?\nProgress will not be saved,Keluar permainan semasa?\nKemajuan tidak akan disimpan
UI_MODE_NORMAL_LABEL,普通模式,Normal Mode,Mod Biasa
UI_MODE_CHALLENGE_LABEL,挑战模式,Challenge Mode,Mod Cabaran
UI_HERO_UPGRADE_FLOAT,🏰 英雄升级 Lv.%d！,🏰 Hero Upgrade Lv.%d!,🏰 Naik Taraf Wira Lv.%d!
UI_SETTINGS_LANGUAGE,🌐 语言,🌐 Language,🌐 Bahasa
UI_LANG_CHINESE,中文,中文,中文
UI_LANG_ENGLISH,English,English,English
UI_LANG_MALAY,Bahasa Melayu,Bahasa Melayu,Bahasa Melayu
UI_INFO_DMG_SECTION,─── 伤害分解 ───,─── Damage Breakdown ───,─── Pecahan Kerosakan ───
UI_INFO_BASE_DMG,基础伤害:  %.1f,Base Damage:  %.1f,Kerosakan Asas:  %.1f
UI_INFO_PATH_BONUS,路线升级:  +%d%% (+%.1f),Path Upgrade:  +%d%% (+%.1f),Naik Taraf Laluan:  +%d%% (+%.1f)
UI_INFO_GLOBAL_BONUS,波次强化:  +%d%%,Wave Buff:  +%d%%,Penambahan Gelombang:  +%d%%
UI_INFO_HERO_BONUS,英雄加成:  +%d%%,Hero Bonus:  +%d%%,Bonus Wira:  +%d%%
UI_INFO_TERRAIN_BONUS,圣地加成:  +%d%%,Terrain Bonus:  +%d%%,Bonus Medan:  +%d%%
UI_INFO_AURA_MULT,光环加成:  ×%.2f,Aura Bonus:  ×%.2f,Bonus Aura:  ×%.2f
UI_INFO_FINAL_DMG,最终伤害:  %.1f,Final Damage:  %.1f,Kerosakan Akhir:  %.1f
UI_INFO_SPD_SECTION,─── 攻速分解 ───,─── Speed Breakdown ───,─── Pecahan Kelajuan ───
UI_INFO_BASE_INTERVAL,基础间隔:  %.2fs,Base Interval:  %.2fs,Selang Asas:  %.2fs
UI_INFO_AURA_SPD_MULT,光环加成:  ×%.2f,Aura Bonus:  ×%.2f,Bonus Aura:  ×%.2f
UI_INFO_FINAL_INTERVAL,最终间隔:  %.2fs (%.1f次/秒),Final Interval:  %.2fs (%.1f/sec),Selang Akhir:  %.2fs (%.1f/saat)
UI_INFO_RNG_SECTION,─── 射程分解 ───,─── Range Breakdown ───,─── Pecahan Jarak ───
UI_INFO_BASE_RANGE,基础射程:  %.0fpx,Base Range:  %.0fpx,Jarak Asas:  %.0fpx
UI_INFO_FINAL_RANGE,最终射程:  %.0fpx,Final Range:  %.0fpx,Jarak Akhir:  %.0fpx
UI_INFO_SPECIAL_SECTION,─── 特殊加成 ───,─── Special Bonuses ───,─── Bonus Khas ───
UI_INFO_STATS_SECTION,─── 战斗统计 ───,─── Battle Stats ───,─── Statistik Pertempuran ───
UI_INFO_TOTAL_COST,💰 总花费: %d,💰 Total Cost: %d,💰 Jumlah Kos: %d
UI_INFO_DAMAGE_DEALT,⚔️ 造成伤害: %.0f,⚔️ Damage Dealt: %.0f,⚔️ Kerosakan: %.0f
UI_INFO_KILLS,💀 击杀数量: %d,💀 Kills: %d,💀 Bunuhan: %d
UI_INFO_WAVE_PLACED,🌊 放置波次: 第 %d 波,🌊 Placed at Wave: %d,🌊 Diletakkan pada Gelombang: %d
UI_INFO_TITLE,%s %s — 详细信息,%s %s — Details,%s %s — Butiran
UI_TERRAIN_DEFAULT,地形,Terrain,Medan
HERO_TERRAIN_HARVEST_NAME,丰收圣地,Harvest Shrine,Tempat Suci Tuaian
HERO_TERRAIN_HARVEST_DESC,圣地内炮台伤害+12%，每次击杀+1金币,Towers in shrine +12% damage. +1 gold per kill,Menara dalam tempat suci +12% kerosakan. +1 emas setiap bunuhan
HERO_TERRAIN_PRISON_NAME,禁锢领域,Binding Domain,Domain Pengikatan
HERO_TERRAIN_PRISON_DESC,领域内敌人移速-20%，优先朝守卫者移动（嘲讽）,Enemies in domain -20% speed. Taunt towards guardian,Musuh dalam domain -20% kelajuan. Ejekan ke arah pengawal
HERO_UPG_HARVEST_1A_NAME,圣地深耕,Deep Cultivation,Penanaman Mendalam
HERO_UPG_HARVEST_1A_DESC,圣地内伤害加成提升至+32%,Shrine damage bonus increased to +32%,Bonus kerosakan tempat suci meningkat ke +32%
HERO_UPG_HARVEST_1B_NAME,金穗满田,Golden Fields,Ladang Emas
HERO_UPG_HARVEST_1B_DESC,击杀+2金币，精英击杀+5金币,+2 gold per kill. +5 for elites,+2 emas setiap bunuhan. +5 untuk elit
HERO_UPG_HARVEST_2A_NAME,广袤农场,Vast Farm,Ladang Luas
HERO_UPG_HARVEST_2A_DESC,圣地半径扩展至260px,Shrine radius expanded to 260px,Jejari tempat suci diperluas ke 260px
HERO_UPG_HARVEST_2B_NAME,丰收节奏,Harvest Rhythm,Irama Tuaian
HERO_UPG_HARVEST_2B_DESC,圣地内每10次击杀触发爆发：伤害×2持续3秒,Every 10 kills in shrine: 2x damage for 3s,Setiap 10 bunuhan dalam tempat suci: 2x kerosakan selama 3s
HERO_UPG_HARVEST_3A_NAME,农神庇护,Divine Protection,Perlindungan Ilahi
HERO_UPG_HARVEST_3A_DESC,圣地内炮台受伤-20%,Towers in shrine take -20% damage,Menara dalam tempat suci -20% kerosakan diterima
HERO_UPG_HARVEST_3B_NAME,黄金地脉,Golden Veins,Urat Emas
HERO_UPG_HARVEST_3B_DESC,圣地内炮台升级费用-25%,Tower upgrade cost -25% in shrine,Kos naik taraf menara -25% dalam tempat suci
HERO_UPG_HARVEST_4A_NAME,永恒圣地,Eternal Shrine,Tempat Suci Abadi
HERO_UPG_HARVEST_4A_DESC,半径扩展至350px，伤害加成叠加全部路线效果,Radius 350px. Damage bonus stacks all path effects,Jejari 350px. Bonus kerosakan merangkum semua kesan laluan
HERO_UPG_HARVEST_4B_NAME,农场之神,Farm God,Tuhan Ladang
HERO_UPG_HARVEST_4B_DESC,圣地内精英击杀10%概率获得免费强化刷新,10% chance free upgrade refresh on elite kill in shrine,10% peluang muat semula peningkatan percuma apabila bunuh elit dalam tempat suci
HERO_UPG_PRISON_1A_NAME,铁壁嘲讽,Iron Wall Taunt,Ejekan Tembok Besi
HERO_UPG_PRISON_1A_DESC,嘲讽范围200px，敌人停留+1.5秒,Taunt range 200px. Enemies stay +1.5s,Jarak ejekan 200px. Musuh tinggal +1.5s
HERO_UPG_PRISON_1B_NAME,重力领域,Gravity Domain,Domain Graviti
HERO_UPG_PRISON_1B_DESC,领域内移速-35%，大型敌人同样生效,Domain -35% speed. Affects large enemies too,Domain -35% kelajuan. Kesan kepada musuh besar juga
HERO_UPG_PRISON_2A_NAME,石刻地面,Stone Carved Ground,Lantai Terukir Batu
HERO_UPG_PRISON_2A_DESC,领域每秒对敌人造成8点伤害,Domain deals 8 damage/sec to enemies,Domain menyebabkan 8 kerosakan/saat kepada musuh
HERO_UPG_PRISON_2B_NAME,破甲领域,Armor Break Domain,Domain Pemecah Perisai
HERO_UPG_PRISON_2B_DESC,领域内敌人护甲降低10%,Enemies in domain -10% armor,Musuh dalam domain -10% perisai
HERO_UPG_PRISON_3A_NAME,冲击余波,Impact Aftershock,Gegaran Selepas Impak
HERO_UPG_PRISON_3A_DESC,每20秒地震100px范围，眩晕1.2秒,Earthquake every 20s in 100px. Stun 1.2s,Gempa setiap 20s dalam 100px. Pengsan 1.2s
HERO_UPG_PRISON_3B_NAME,磁力核心,Magnetic Core,Teras Magnet
HERO_UPG_PRISON_3B_DESC,将范围外100px的敌人减速50%,Slow enemies 100px outside domain by 50%,Perlahan musuh 100px di luar domain sebanyak 50%
HERO_UPG_PRISON_4A_NAME,永恒禁锢,Eternal Binding,Pengikatan Abadi
HERO_UPG_PRISON_4A_DESC,半径扩展至280px，嘲讽期间全场+25%伤害,Radius 280px. +25% global damage during taunt,Jejari 280px. +25% kerosakan global semasa ejekan
HERO_UPG_PRISON_4B_NAME,石之迫近,Stone Approach,Pendekatan Batu
HERO_UPG_PRISON_4B_DESC,领域内死亡留下石化标记，后续敌人减速10秒,Deaths leave petrify marks. Slow future enemies 10s,Kematian meninggalkan tanda batu. Perlahan musuh seterusnya 10s
UI_SETTINGS_BATTLE,📋 游戏,📋 Battle,📋 Pertempuran
UI_SETTINGS_SAVE_EXIT,💾 保存并退出,💾 Save & Exit,💾 Simpan & Keluar
UI_SETTINGS_EXIT_NOSAVE,🚪 退出（不保存）,🚪 Exit (No Save),🚪 Keluar (Tanpa Simpan)
UI_EFFECT_SLOW,减速,Slow,Perlahan
UI_EFFECT_SLOW_DESC,降低敌人移动速度，持续一段时间。多次减速不叠加，取最强效果。,Reduces enemy speed for a duration. Multiple slows don't stack; strongest takes effect.,Kurangkan kelajuan musuh untuk tempoh tertentu. Pelbagai perlahan tidak bertindih; terkuat berkuat kuasa.
UI_EFFECT_BURN,灼烧,Burn,Bakar
UI_EFFECT_BURN_DESC,每秒造成持续伤害（DOT），可叠加。免疫DOT的敌人不受影响。,Deals damage over time (DOT) per second. Stackable. DOT-immune enemies unaffected.,Menyebabkan kerosakan berterusan (DOT) sesaat. Boleh bertindih. Musuh kebal DOT tidak terjejas.
UI_EFFECT_POISON,中毒,Poison,Racun
UI_EFFECT_POISON_DESC,每秒造成持续伤害（DOT），可叠加。免疫DOT的敌人不受影响。,Deals poison damage over time. Stackable. DOT-immune enemies unaffected.,Menyebabkan kerosakan racun berterusan. Boleh bertindih. Musuh kebal DOT tidak terjejas.
UI_EFFECT_STUN,定身,Stun,Pengsan
UI_EFFECT_STUN_DESC,使敌人完全停止移动，持续短暂时间。免疫控制的敌人不受影响。,Completely stops enemy movement briefly. Control-immune enemies unaffected.,Hentikan pergerakan musuh sepenuhnya untuk seketika. Musuh kebal kawalan tidak terjejas.
UI_EFFECT_MARK,标记,Mark,Tanda
UI_EFFECT_MARK_DESC,被标记的敌人受到额外伤害。标记可被特定炮台触发。,Marked enemies take bonus damage. Triggered by specific towers.,Musuh bertanda menerima kerosakan tambahan. Dicetuskan oleh menara tertentu.
UI_EFFECT_PIERCE,穿甲,Armor Pierce,Penembusan Perisai
UI_EFFECT_PIERCE_DESC,无视敌人护甲值，直接造成全额伤害。,Ignores enemy armor and deals full damage.,Mengabaikan perisai musuh dan menyebabkan kerosakan penuh.
UI_EFFECT_KNOCKBACK,击退,Knockback,Tolakan
UI_EFFECT_KNOCKBACK_DESC,将敌人沿路径推回一段距离。巨型单位不受影响。,Pushes enemy back along path. Giant units unaffected.,Tolak musuh ke belakang sepanjang laluan. Unit gergasi tidak terjejas.
UI_EFFECT_SPLASH,溅射,Splash,Percikan
